E2R Guidelines,Elements to be identified,Value,Details,Comments,Tool used,Comment,Time Spent,Group,Web,E2R_Category
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Identified by the evaluator (in a manual way),Not used.,The tool found some but there was no,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,Used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Identified by the tool,"yes. E.g. GPU, TPU, AI, LLM without always defining them clearly.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Spelling,Semicolon,Identified by the evaluator (in a manual way),Not used.,The tool found some but there was no,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Spelling
E2R Guidelines about Grammar,Passive language/voice,Identified by the tool,"Used occasionally, e.g., “These chips have powered…” instead of “Nvidia powered…”.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Grammar
E2R Guidelines about Grammar,Negative sentences,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,"e.g., “relying”, “processing”.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Vocabulary
