row_id,group_id,document_name_clean,tool_position,tool_name,tool_member_family,tool_raw
part3-bb36f63d4e2827d0,1,2020 Guide for International Students UPM,1,Gemini,llm,"Gemini, ChatGPT"
part3-bb36f63d4e2827d0,1,2020 Guide for International Students UPM,2,ChatGPT,llm,"Gemini, ChatGPT"
part3-4d7fae99824ca7c6,1,2013 Self Assessment,1,Gemini,llm,"Gemini, ChatGPT"
part3-4d7fae99824ca7c6,1,2013 Self Assessment,2,ChatGPT,llm,"Gemini, ChatGPT"
part3-f97464de2da94726,3,University of Manchester HR Excellence in Research Award Submission September 2019,1,Gemini,llm,Gemini
part3-61c79c733acc8d9c,3,University of Manchester HR Excellence in Research Award 12 Year Report 2023,1,ChatGPT,llm,ChatGPT
part3-5662bcc60832980d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-fcc2b9cc0ab27682,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8ff20ae46d76bdb4,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-409eb6a095794101,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-6060db4de818fd2b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-f72ac64e2c10b390,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b22d367a5c9793f2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5486cd35693b945d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-907f5a7459f170d0,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d1ca6e2bc886daee,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d60b1a0e51abf08c,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-60f0bf860d6e3362,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-eaabda57c3144304,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-70f8ea656750d9de,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-686cd13f9fb5a381,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b730de5e4c70c99b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3e8bdd04b8078958,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e8406dfd210d8ea4,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e1cae135041302d3,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-34c2c0bc23e156b1,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-af48d1acc24404e0,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e93db058adbf9855,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d77b91bcc1e4c00b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8f8ef0c7ab83dd79,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-670708c442b48230,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8c17e7891c2d9970,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
